DỮ LIỆU VỀ MÔI TRƯỜNG NƯỚC BIỂN (Vùng bờ Quần đảo Cát Bà năm 2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Nguồn: TT quan trắc tài nguyên và môi trường - Sở TNMT TP. Hải Phòng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,Thông số,Đơn vị,Giá trị đo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tháng 2,Tháng 5,Tháng 8,Tháng 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ôxy hoà tan (DO),mg/l,4.5,4.8,5.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nhiệt độ nước biển,0C,20.3,30.2,28.5,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pH,,8.03,8.45,8.26,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Độ mặn,%o,28,31.2,27.5,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Độ kiềm,mg/l,64,67,66.4,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Độ trong,cm,250,430,410,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NH3,mg/l,0.026,0.027,0.031,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H2S,mg/l,0.018,0.019,0.022,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Nhiệt độ không khí,oC,20,28.5,28.6,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Lượng mưa,mm/tháng,26,162.5,305.4,45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BOD5(200C),mg/l,4,4.21,4.66,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,COD,mg/l,1.7,1.74,1.67,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Coliform,MPN /100ml,410,450,523,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,TSS,mg/l,5.6,18.3,10.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CN-,mg/l,0.0022,0.0019,0.0018,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Asen (As),mg/l,0.034,0.038,0.037,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Cadimi (Cd),mg/l,0.004,0.0051,0.0062,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chì (Pb),mg/l,0.0055,0.008,0.009,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cu,mg/l,0.0784,0.007,0.0066,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Hg,mg/l,0.00321,0.0035,0.0045,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Zn,mg/l,0.622,0.55,0.58,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Florua (F-),mg/l,1.45,1.45,1.45,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sắt (Fe),mg/l,0.0146,0.028,0.03,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Crom VI (Cr6+),mg/l,0.0226,0.024,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tổng Crom,mg/l,0.163,0.19,0.018,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mangan (Mn),mg/l,0.852,0.81,0.84,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tổng dầu mỡ khoáng,mg/l,0.024,0.036,0.36,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,none,very low,low,a slightly low,medium,a slightly high,high,high very,perfect,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Thông số,Giá trị cho phép,Tháng 2,Positive,Neutral,Negative,,Thông số,Giá trị cho phép,Tháng 5,Positive,Neutral,Negative,,Thông số,Giá trị cho phép,Tháng 8,Positive,Neutral,Negative,,Thông số,Giá trị cho phép,Tháng 11,Positive,Neutral,Negative
,,,,,,,,,,,,Ôxy hoà tan (DO),≥ 5,4.5,,low,high,,Ôxy hoà tan (DO),≥ 5,4.8,,a slightly low,a slightly high,,Ôxy hoà tan (DO),≥ 5,5.2,perfect,,,,Ôxy hoà tan (DO),≥ 5,5.5,high very,very low,
,,,,,,,,,,,,Nhiệt độ thích hợp,20-28,20.3,perfect,,,,Nhiệt độ thích hợp,20-28,30.2,high very,very low,,,Nhiệt độ thích hợp,20-28,28.5,high very,very low,,,Nhiệt độ thích hợp,20-28,21.2,perfect,,
,,,,,,,,,,,,pH,7.5 ÷ 8,8.03,high very,very low,,,pH,7.5 ÷ 8,8.45,high,low,,,pH,7.5 ÷ 8,8.26,high very,very low,,,pH,7.5 ÷ 8,8.18,high very,very low,
,,,,,,,,,,,,Độ mặn,20 ÷ 25,28,high very,very low,,,Độ mặn,20 ÷ 25,31.2,medium,medium,,,Độ mặn,20 ÷ 25,27.5,high very,very low,,,Độ mặn,20 ÷ 25,28.9,high,low,
,,,,,,,,,,,,Độ kiềm,60 ÷ 180,64,perfect,,,,Độ kiềm,60 ÷ 180,67,perfect,,,,Độ kiềm,60 ÷ 180,66.4,perfect,,,,Độ kiềm,60 ÷ 180,70,perfect,,
,,,,,,,,,,,,Độ trong,20 ÷ 50,250,,,perfect,,Độ trong,20 ÷ 50,430,,,perfect,,Độ trong,20 ÷ 50,410,,,perfect,,Độ trong,20 ÷ 50,230,,,perfect
,,,,,,,,,,,,NH3,"< 0,3",0.026,very low,high very,,,NH3,"< 0,3",0.027,very low,high very,,,NH3,"< 0,3",0.031,very low,high very,,,NH3,"< 0,3",0.034,very low,high very,
,,,,,,,,,,,,H2S,"< 0,05",0.018,very low,high very,,,H2S,"< 0,05",0.019,very low,high very,,,H2S,"< 0,05",0.022,very low,high very,,,H2S,"< 0,05",0.018,very low,high very,
,,,,,,,,,,,,Nhiệt độ,18 ÷ 33,20,high very,very low,,,Nhiệt độ,18 ÷ 33,28.5,perfect,,,,Nhiệt độ,18 ÷ 33,28.6,perfect,,,,Nhiệt độ,18 ÷ 33,27.2,perfect,,
,,,,,,,,,,,,BOD5(200C),≤ 50,4,very low,high very,,,BOD5(200C),≤ 50,4.21,very low,high very,,,BOD5(200C),≤ 50,4.66,very low,high very,,,BOD5(200C),≤ 50,3.57,very low,high very,
,,,,,,,,,,,,COD,≤ 150,1.7,very low,high very,,,COD,≤ 150,1.74,very low,high very,,,COD,≤ 150,1.67,very low,high very,,,COD,≤ 150,1.66,very low,high very,
,,,,,,,,,,,,Coliform,≤ 5.000,410,very low,high very,,,Coliform,≤ 5.000,450,very low,high very,,,Coliform,≤ 5.000,523,very low,high very,,,Coliform,≤ 5.000,540,very low,high very,
,,,,,,,,,,,,TSS,50,5.6,,none,perfect,,TSS,50,18.3,,medium,medium,,TSS,50,10.8,,low,high,,TSS,50,5.8,,,perfect
,,,,,,,,,,,,CN-,0.1,0.0022,,none,perfect,,CN-,0.1,0.0019,,,perfect,,CN-,0.1,0.0018,,,perfect,,CN-,0.1,0.0021,,,perfect
,,,,,,,,,,,,As,0.02,0.034,high very,very low,,,As,0.02,0.038,high very,very low,,,As,0.02,0.037,high very,very low,,,As,0.02,0.036,high very,very low,
,,,,,,,,,,,,Cd,0.005,0.004,medium,medium,,,Cd,0.005,0.0051,perfect,,,,Cd,0.005,0.0062,high very,very low,,,Cd,0.005,0.0061,high very,very low,
,,,,,,,,,,,,Pb,0.05,0.0055,,very low,high very,,Pb,0.05,0.008,,very low,high very,,Pb,0.05,0.009,,very low,high very,,Pb,0.05,0.007,,very low,high very
,,,,,,,,,,,,Cu,0.2,0.0784,a slightly low,medium,very low,,Cu,0.2,0.007,,none,perfect,,Cu,0.2,0.0066,,none,perfect,,Cu,0.2,0.007,,,perfect
,,,,,,,,,,,,Hg,0.001,0.00321,high very,very low,,,Hg,0.001,0.0035,high very,very low,,,Hg,0.001,0.0045,high very,very low,,,Hg,0.001,0.0027,high very,very low,
,,,,,,,,,,,,Zn,0.5,0.622,high very,very low,,,Zn,0.5,0.55,perfect,,,,Zn,0.5,0.58,perfect,,,,Zn,0.5,0.056,perfect,,
,,,,,,,,,,,,Tổng Crom,0.1,0.163,high very,very low,,,Tổng Crom,0.1,0.19,high,low,,,Tổng Crom,0.1,0.018,,low,high,,Tổng Crom,0.1,0.18,high,low,
,,,,,,,,,,,,,,,,,87.50%,,,,,,,75%,,,,,,,87.50%,,,,,,,75%